Empresa \ Ano;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
ABEV3.SA.csv;1.0;4.0;4.0;4.0;3.0;4.0;4.0;4.0;4.0;4.0;4.0
ANIM3.SA.csv;1.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
B3SA3.SA.csv;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
BBAS3.SA.csv;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4.0;4.0
BBDC3.SA.csv;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4.0;4.0
BBDC4.SA.csv;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4.0;4.0
BRAP4.SA.csv;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
BRFS3.SA.csv;4.0;4.0;4.0;4.0;4.0;4.0;4.0;3.0;4.0;4.0;4.0
BRKM5.SA.csv;4.0;4.0;4.0;4.0;2.0;4.0;4.0;4.0;4.0;4.0;4.0
CIEL3.SA.csv;4.0;4.0;4.0;4.0;4.0;4.0;1.0;1.0;1.0;4.0;4.0
CMIG4.SA.csv;4.0;4.0;4.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;3.0
CPLE6.SA.csv;4.0;4.0;4.0;4.0;1.0;5.0;3.0;5.0;3.0;4.0;4.0
CSAN3.SA.csv;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;3.0;4.0
CSNA3.SA.csv;4.0;4.0;4.0;1.0;2.0;4.0;4.0;4.0;4.0;4.0;4.0
CYRE3.SA.csv;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;3.0;4.0
ECOR3.SA.csv;4.0;4.0;4.0;4.0;4.0;4.0;4.0;3.0;4.0;4.0;4.0
ELET3.SA.csv;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
ELET6.SA.csv;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
EMBR3.SA.csv;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;3.0;4.0
ENGI11.SA.csv;4.0;3.0;5.0;4.0;4.0;4.0;4.0;3.0;4.0;3.0;4.0
EQTL3.SA.csv;4.0;4.0;4.0;3.0;2.0;4.0;4.0;3.0;4.0;4.0;4.0
GGBR4.SA.csv;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
GOAU4.SA.csv;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
GOLL4.SA.csv;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
HYPE3.SA.csv;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
ITSA4.SA.csv;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
ITUB4.SA.csv;3.0;4.0;4.0;4.0;4.0;3.0;4.0;5.0;4.0;4.0;4.0
JBSS3.SA.csv;4.0;4.0;3.0;3.0;1.0;5.0;4.0;4.0;4.0;4.0;4.0
LREN3.SA.csv;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
MGLU3.SA.csv;4.0;4.0;4.0;3.0;3.0;4.0;4.0;4.0;4.0;4.0;3.0
MRFG3.SA.csv;3.0;4.0;4.0;4.0;3.0;4.0;4.0;4.0;4.0;4.0;4.0
MRVE3.SA.csv;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;0.0;5.0
MULT3.SA.csv;5.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;3.0
PCAR3.SA.csv;4.0;4.0;1.0;5.0;4.0;4.0;4.0;3.0;4.0;4.0;4.0
PETR3.SA.csv;4.0;3.0;5.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
PETR4.SA.csv;4.0;3.0;5.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
PRIO3.SA.csv;4.0;4.0;4.0;4.0;4.0;3.0;2.0;4.0;4.0;4.0;4.0
RADL3.SA.csv;4.0;1.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
RENT3.SA.csv;4.0;4.0;4.0;4.0;3.0;4.0;4.0;4.0;4.0;4.0;4.0
SANB11.SA.csv;3.0;4.0;4.0;4.0;4.0;3.0;4.0;4.0;4.0;3.0;4.0
SBSP3.SA.csv;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
SLCE3.SA.csv;4.0;4.0;4.0;4.0;4.0;4.0;3.0;4.0;4.0;4.0;4.0
SMTO3.SA.csv;4.0;4.0;4.0;4.0;4.0;4.0;4.0;3.0;4.0;4.0;4.0
SUZB3.SA.csv;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
TAEE11.SA.csv;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
TOTS3.SA.csv;4.0;4.0;4.0;4.0;4.0;4.0;4.0;1.0;0.0;5.0;4.0
UGPA3.SA.csv;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
USIM5.SA.csv;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
VALE3.SA.csv;4.0;4.0;4.0;4.0;4.0;4.0;3.0;5.0;4.0;4.0;4.0
WEGE3.SA.csv;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
YDUQ3.SA.csv;6.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
KLBN11.SA.csv;0.0;4.0;4.0;3.0;4.0;4.0;4.0;3.0;4.0;3.0;4.0
RAIL3.SA.csv;0.0;0.0;3.0;5.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
VVAR4.SA.csv;0.0;0.0;0.0;4.0;4.0;3.0;0.0;0.0;0.0;0.0;0.0
AZUL4.SA.csv;0.0;0.0;0.0;0.0;4.0;3.0;5.0;4.0;4.0;4.0;4.0
BPAC11.SA.csv;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0
HAPV3.SA.csv;0.0;0.0;0.0;0.0;0.0;3.0;4.0;4.0;4.0;4.0;4.0
VBBR3.SA.csv;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;3.0;4.0;4.0
NTCO3.SA.csv;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;3.0;5.0
TIMS3.SA.csv;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;2.0;4.0
